Dalton Kincaid|TE|120.7|119.6|-1.1
Jakobi Meyers|WR|119.3|121.2|1.9
Chris Rodriguez|RB|124.4|123.2|-1.2
Baker Mayfield|QB|122.8|123.4|0.6
Travis Kelce|TE|123.4|124|0.6
Isaiah Likely|TE|127.2|126.5|-0.7
Aaron Jones|RB|128|127.4|-0.6
Tyler Shough|QB|126.3|127.4|1.1
Deebo Samuel|WR|127.2|128.8|1.6
Jalen Coker|WR|129.3|129.9|0.6
Keaton Mitchell|RB|129.6|130.3|0.7
Khalil Shakir|WR|131|131.5|0.5
Dallas Goedert|TE|133.4|132.4|-1
Malik Willis|QB|133.3|133.9|0.6
Mark Andrews|TE|133.3|134.8|1.5
Rashid Shaheed|WR|134.5|135|0.5
MarShawn Lloyd|RB|151.1|135.1|-16
Jake Ferguson|TE|135.7|136.1|0.4
Woody Marks|RB|137.1|137.4|0.3
Tyler Allgeier|RB|140.8|139.1|-1.7
Juwan Johnson|TE|142.3|140.5|-1.8
Jonah Coleman|RB|144.2|142.8|-1.4
Denzel Boston|WR|140.5|142.9|2.4
Sam Darnold|QB|141.9|143.4|1.5
Daniel Jones|QB|144.3|144.6|0.3
Mike Washington Jr.|RB|140.6|144.8|4.2
C.J. Stroud|QB|147|148.5|1.5
Chig Okonkwo|TE|148.4|149|0.6
Ja'Kobi Lane|WR|154.1|149.4|-4.7
Tre Tucker|WR|153.2|150|-3.2
Brenton Strange|TE|150.9|151.4|0.5
Tank Bigsby|RB|151.7|152|0.3
Keenan Allen|WR|159.8|152.3|-7.5
Tyjae Spears|RB|156.6|154.9|-1.7
Jalen Nailor|WR|150.4|155.1|4.7
Hunter Henry|TE|153.4|155.3|1.9
Terrance Ferguson|TE|160.4|156|-4.4
Jalen McMillan|WR|157.6|159.2|1.6
Dontayvion Wicks|WR|160.5|159.3|-1.2
Tre' Harris|WR|160.6|160.3|-0.3
Dalton Schultz|TE|161.9|160.4|-1.5
Cam Ward|QB|156.6|160.6|4
Tyrone Tracy|RB|150.6|161.7|11.1
Travis Hunter|WR|156.2|163.1|6.9
Zach Charbonnet|RB|162.3|163.9|1.6
Bryce Young|QB|165.5|166.9|1.4
Adonai Mitchell|WR|170.5|168.3|-2.2
T.J. Hockenson|TE|169.9|168.3|-1.6
Dylan Sampson|RB|171.6|169.1|-2.5
Ryan Flournoy|WR|170.1|169.5|-0.6
Pat Bryant|WR|171.8|170.2|-1.6
Malik Washington|WR|173.2|173.9|0.7
Omar Cooper Jr.|WR|168.3|173.9|5.6
AJ Barner|TE|176.7|174.4|-2.3
Kayshon Boutte|WR|200.1|174.5|-25.6
Jauan Jennings|WR|170.3|177.4|7.1
Caleb Douglas|WR|180.2|179.1|-1.1
Kenyon Sadiq|TE|181.6|180.3|-1.3
Braelon Allen|RB|187.4|183.5|-3.9
Brian Robinson|RB|185.6|183.6|-2
Aaron Rodgers|QB|184.3|183.7|-0.6
Jaydon Blue|RB|177.4|184|6.6
Emmett Johnson|RB|192.6|184.6|-8
Kaelon Black|RB|195.6|185.5|-10.1
Devaughn Vele|WR|188.5|185.7|-2.8
Ray Davis|RB|188.1|186.2|-1.9
Malachi Fields|WR|195.1|187.6|-7.5
Greg Dulcich|TE|188.3|188.4|0.1
Geno Smith|QB|191.1|191|-0.1
Tank Dell|WR|177.2|191|13.8
Fernando Mendoza|QB|187.4|191.7|4.3
Cade Otton|TE|194.5|192.1|-2.4
Chris Bell|WR|207.3|192.5|-14.8
Alvin Kamara|RB|181.2|196.9|15.7
Pat Freiermuth|TE|198.8|197.7|-1.1
Isiah Pacheco|RB|185.4|198.5|13.1
Oronde Gadsden|TE|184|198.7|14.7
Ted Hurst|WR|202.4|198.7|-3.7
Gunnar Helm|TE|196.1|199.1|3
Najee Harris|RB|206.8|199.5|-7.3
Zachariah Branch|WR|194.2|200.4|6.2
Jacoby Brissett|QB|199.7|200.9|1.2
Calvin Ridley|WR|202.6|203.1|0.5
Jaylin Noel|WR|197|204.3|7.3
Jerry Jeudy|WR|201.5|205.1|3.6
Germie Bernard|WR|206.5|205.4|-1.1
Isaac TeSlaa|WR|197.7|207.2|9.5
Kimani Vidal|RB|210.7|208.4|-2.3
Charlie Kolar|TE|211.4|208.9|-2.5
Darren Waller|TE|207.7|209.7|2
Michael Penix|QB|214.7|210.1|-4.6
