rank,player,pos,pos_rank,source
1,Christian McCaffrey,RB,1,espn cockcroft 2021-08-20
2,Patrick Mahomes,QB,1,espn cockcroft 2021-08-20
3,Dalvin Cook,RB,2,espn cockcroft 2021-08-20
4,Alvin Kamara,RB,3,espn cockcroft 2021-08-20
5,Derrick Henry,RB,4,espn cockcroft 2021-08-20
6,Josh Allen,QB,2,espn cockcroft 2021-08-20
7,Ezekiel Elliott,RB,5,espn cockcroft 2021-08-20
8,Kyler Murray,QB,3,espn cockcroft 2021-08-20
9,Saquon Barkley,RB,6,espn cockcroft 2021-08-20
10,Travis Kelce,TE,1,espn cockcroft 2021-08-20
11,Lamar Jackson,QB,4,espn cockcroft 2021-08-20
12,Austin Ekeler,RB,7,espn cockcroft 2021-08-20
13,Dak Prescott,QB,5,espn cockcroft 2021-08-20
14,Jonathan Taylor,RB,8,espn cockcroft 2021-08-20
15,Davante Adams,WR,1,espn cockcroft 2021-08-20
16,Nick Chubb,RB,9,espn cockcroft 2021-08-20
17,Tyreek Hill,WR,2,espn cockcroft 2021-08-20
18,Aaron Rodgers,QB,6,espn cockcroft 2021-08-20
19,Aaron Jones,RB,10,espn cockcroft 2021-08-20
20,Stefon Diggs,WR,3,espn cockcroft 2021-08-20
21,Antonio Gibson,RB,11,espn cockcroft 2021-08-20
22,DeAndre Hopkins,WR,4,espn cockcroft 2021-08-20
23,Calvin Ridley,WR,5,espn cockcroft 2021-08-20
24,Justin Herbert,QB,7,espn cockcroft 2021-08-20
25,Joe Mixon,RB,12,espn cockcroft 2021-08-20
26,D'Andre Swift,RB,13,espn cockcroft 2021-08-20
27,Najee Harris,RB,14,espn cockcroft 2021-08-20
28,Russell Wilson,QB,8,espn cockcroft 2021-08-20
29,DK Metcalf,WR,6,espn cockcroft 2021-08-20
30,George Kittle,TE,2,espn cockcroft 2021-08-20
31,Clyde Edwards-Helaire,RB,15,espn cockcroft 2021-08-20
32,Darren Waller,TE,3,espn cockcroft 2021-08-20
33,A.J. Brown,WR,7,espn cockcroft 2021-08-20
34,Justin Jefferson,WR,8,espn cockcroft 2021-08-20
35,J.K. Dobbins,RB,16,espn cockcroft 2021-08-20
36,Terry McLaurin,WR,9,espn cockcroft 2021-08-20
37,Tom Brady,QB,9,espn cockcroft 2021-08-20
38,Miles Sanders,RB,17,espn cockcroft 2021-08-20
39,Jalen Hurts,QB,10,espn cockcroft 2021-08-20
40,David Montgomery,RB,18,espn cockcroft 2021-08-20
41,Keenan Allen,WR,10,espn cockcroft 2021-08-20
42,Allen Robinson II,WR,11,espn cockcroft 2021-08-20
43,CeeDee Lamb,WR,12,espn cockcroft 2021-08-20
44,Ryan Tannehill,QB,11,espn cockcroft 2021-08-20
45,Josh Jacobs,RB,19,espn cockcroft 2021-08-20
46,Chris Carson,RB,20,espn cockcroft 2021-08-20
47,Joe Burrow,QB,12,espn cockcroft 2021-08-20
48,Mike Evans,WR,13,espn cockcroft 2021-08-20
49,Matthew Stafford,QB,13,espn cockcroft 2021-08-20
