rank,player,pos,pos_rank,source
50,Robert Woods,WR,14,espn cockcroft 2021-08-20
51,Amari Cooper,WR,15,espn cockcroft 2021-08-20
52,DJ Moore,WR,16,espn cockcroft 2021-08-20
53,Trevor Lawrence,QB,14,espn cockcroft 2021-08-20
54,Myles Gaskin,RB,21,espn cockcroft 2021-08-20
55,Chris Godwin,WR,17,espn cockcroft 2021-08-20
56,Travis Etienne,RB,22,espn cockcroft 2021-08-20
57,Matt Ryan,QB,15,espn cockcroft 2021-08-20
58,Diontae Johnson,WR,18,espn cockcroft 2021-08-20
59,Julio Jones,WR,19,espn cockcroft 2021-08-20
60,Kirk Cousins,QB,16,espn cockcroft 2021-08-20
61,Mark Andrews,TE,4,espn cockcroft 2021-08-20
62,Cooper Kupp,WR,20,espn cockcroft 2021-08-20
63,Mike Davis,RB,23,espn cockcroft 2021-08-20
64,Adam Thielen,WR,21,espn cockcroft 2021-08-20
65,Darrell Henderson Jr.,RB,24,espn cockcroft 2021-08-20
66,T.J. Hockenson,TE,5,espn cockcroft 2021-08-20
67,Daniel Jones,QB,17,espn cockcroft 2021-08-20
68,Kyle Pitts,TE,6,espn cockcroft 2021-08-20
69,Tyler Lockett,WR,22,espn cockcroft 2021-08-20
70,Ben Roethlisberger,QB,18,espn cockcroft 2021-08-20
71,Brandon Aiyuk,WR,23,espn cockcroft 2021-08-20
72,Baker Mayfield,QB,19,espn cockcroft 2021-08-20
73,Kareem Hunt,RB,25,espn cockcroft 2021-08-20
74,Tee Higgins,WR,24,espn cockcroft 2021-08-20
75,Kenny Golladay,WR,25,espn cockcroft 2021-08-20
76,Chase Claypool,WR,26,espn cockcroft 2021-08-20
77,Ryan Fitzpatrick,QB,20,espn cockcroft 2021-08-20
78,Javonte Williams,RB,26,espn cockcroft 2021-08-20
79,Chase Edmonds,RB,27,espn cockcroft 2021-08-20
80,Dallas Goedert,TE,7,espn cockcroft 2021-08-20
81,Robby Anderson,WR,27,espn cockcroft 2021-08-20
82,James Robinson,RB,28,espn cockcroft 2021-08-20
83,Ja'Marr Chase,WR,28,espn cockcroft 2021-08-20
84,Courtland Sutton,WR,29,espn cockcroft 2021-08-20
85,Raheem Mostert,RB,29,espn cockcroft 2021-08-20
86,Derek Carr,QB,21,espn cockcroft 2021-08-20
87,Odell Beckham Jr.,WR,30,espn cockcroft 2021-08-20
88,Michael Carter,RB,30,espn cockcroft 2021-08-20
89,Deshaun Watson,QB,22,espn cockcroft 2021-08-20
90,Noah Fant,TE,8,espn cockcroft 2021-08-20
91,Tua Tagovailoa,QB,23,espn cockcroft 2021-08-20
92,DJ Chark Jr.,WR,31,espn cockcroft 2021-08-20
93,JuJu Smith-Schuster,WR,32,espn cockcroft 2021-08-20
94,Deebo Samuel,WR,33,espn cockcroft 2021-08-20
95,Trey Sermon,RB,31,espn cockcroft 2021-08-20
96,Ronald Jones II,RB,32,espn cockcroft 2021-08-20
97,Jerry Jeudy,WR,34,espn cockcroft 2021-08-20
98,Michael Thomas,WR,35,espn cockcroft 2021-08-20
99,Justin Fields,QB,24,espn cockcroft 2021-08-20
100,Melvin Gordon III,RB,33,espn cockcroft 2021-08-20
101,Brandin Cooks,WR,36,espn cockcroft 2021-08-20
102,Leonard Fournette,RB,34,espn cockcroft 2021-08-20
103,Curtis Samuel,WR,37,espn cockcroft 2021-08-20
104,David Johnson,RB,35,espn cockcroft 2021-08-20
105,Sam Darnold,QB,25,espn cockcroft 2021-08-20
106,Zack Moss,RB,36,espn cockcroft 2021-08-20
107,Tyler Boyd,WR,38,espn cockcroft 2021-08-20
108,James Conner,RB,37,espn cockcroft 2021-08-20
109,Trey Lance,QB,26,espn cockcroft 2021-08-20
110,Logan Thomas,TE,9,espn cockcroft 2021-08-20
111,Mike Gesicki,TE,10,espn cockcroft 2021-08-20
112,Jarvis Landry,WR,39,espn cockcroft 2021-08-20
113,Tyler Higbee,TE,11,espn cockcroft 2021-08-20
114,DeVonta Smith,WR,40,espn cockcroft 2021-08-20
115,Damien Harris,RB,38,espn cockcroft 2021-08-20
116,Antonio Brown,WR,41,espn cockcroft 2021-08-20
117,Jared Goff,QB,27,espn cockcroft 2021-08-20
118,AJ Dillon,RB,39,espn cockcroft 2021-08-20
119,Kenyan Drake,RB,40,espn cockcroft 2021-08-20
120,Will Fuller V,WR,42,espn cockcroft 2021-08-20
121,Robert Tonyan,TE,12,espn cockcroft 2021-08-20
122,Devin Singletary,RB,41,espn cockcroft 2021-08-20
123,Laviska Shenault Jr.,WR,43,espn cockcroft 2021-08-20
124,Irv Smith Jr.,TE,13,espn cockcroft 2021-08-20
125,Evan Engram,TE,14,espn cockcroft 2021-08-20
126,Mike Williams,WR,44,espn cockcroft 2021-08-20
127,Michael Gallup,WR,45,espn cockcroft 2021-08-20
128,Rob Gronkowski,TE,15,espn cockcroft 2021-08-20
129,Nyheim Hines,RB,42,espn cockcroft 2021-08-20
130,Marquise Brown,WR,46,espn cockcroft 2021-08-20
131,Mecole Hardman,WR,47,espn cockcroft 2021-08-20
132,Corey Davis,WR,48,espn cockcroft 2021-08-20
133,Tony Pollard,RB,43,espn cockcroft 2021-08-20
134,Jameis Winston,QB,28,espn cockcroft 2021-08-20
135,Jamaal Williams,RB,44,espn cockcroft 2021-08-20
136,Jonnu Smith,TE,16,espn cockcroft 2021-08-20
137,Michael Pittman Jr.,WR,49,espn cockcroft 2021-08-20
138,Zach Wilson,QB,29,espn cockcroft 2021-08-20
139,J.D. McKissic,RB,45,espn cockcroft 2021-08-20
140,Jaylen Waddle,WR,50,espn cockcroft 2021-08-20
141,DeVante Parker,WR,51,espn cockcroft 2021-08-20
142,Austin Hooper,TE,17,espn cockcroft 2021-08-20
143,Gus Edwards,RB,46,espn cockcroft 2021-08-20
144,Taysom Hill,QB,30,espn cockcroft 2021-08-20
145,Latavius Murray,RB,47,espn cockcroft 2021-08-20
146,Adam Trautman,TE,18,espn cockcroft 2021-08-20
147,Cam Newton,QB,31,espn cockcroft 2021-08-20
148,James White,RB,48,espn cockcroft 2021-08-20
149,Marvin Jones Jr.,WR,52,espn cockcroft 2021-08-20
150,T.Y. Hilton,WR,53,espn cockcroft 2021-08-20
151,Justin Tucker,K,1,espn cockcroft 2021-08-20
152,Darnell Mooney,WR,54,espn cockcroft 2021-08-20
153,Hunter Henry,TE,19,espn cockcroft 2021-08-20
154,Nelson Agholor,WR,55,espn cockcroft 2021-08-20
155,Carson Wentz,QB,32,espn cockcroft 2021-08-20
156,Tarik Cohen,RB,49,espn cockcroft 2021-08-20
157,Harrison Butker,K,2,espn cockcroft 2021-08-20
158,Jared Cook,TE,20,espn cockcroft 2021-08-20
159,Blake Jarwin,TE,21,espn cockcroft 2021-08-20
