rank,player,pos,pos_rank,source
1,Patrick Mahomes,QB,1,espn week1 2023-09-05
2,Jalen Hurts,QB,2,espn week1 2023-09-05
3,Josh Allen,QB,3,espn week1 2023-09-05
4,Lamar Jackson,QB,4,espn week1 2023-09-05
5,Joe Burrow,QB,5,espn week1 2023-09-05
6,Justin Fields,QB,6,espn week1 2023-09-05
7,Geno Smith,QB,7,espn week1 2023-09-05
8,Justin Herbert,QB,8,espn week1 2023-09-05
9,Trevor Lawrence,QB,9,espn week1 2023-09-05
10,Justin Jefferson,WR,1,espn week1 2023-09-05
11,Ja'Marr Chase,WR,2,espn week1 2023-09-05
12,Travis Kelce,TE,1,espn week1 2023-09-05
13,Austin Ekeler,RB,1,espn week1 2023-09-05
14,Christian McCaffrey,RB,2,espn week1 2023-09-05
15,Tyreek Hill,WR,3,espn week1 2023-09-05
16,Kirk Cousins,QB,10,espn week1 2023-09-05
17,Russell Wilson,QB,11,espn week1 2023-09-05
18,Deshaun Watson,QB,12,espn week1 2023-09-05
19,Dak Prescott,QB,13,espn week1 2023-09-05
20,Tua Tagovailoa,QB,14,espn week1 2023-09-05
21,Cooper Kupp,WR,4,espn week1 2023-09-05
22,Davante Adams,WR,5,espn week1 2023-09-05
23,CeeDee Lamb,WR,6,espn week1 2023-09-05
24,Derrick Henry,RB,3,espn week1 2023-09-05
25,Bijan Robinson,RB,4,espn week1 2023-09-05
26,Tony Pollard,RB,5,espn week1 2023-09-05
27,Saquon Barkley,RB,6,espn week1 2023-09-05
28,Josh Jacobs,RB,7,espn week1 2023-09-05
29,Daniel Jones,QB,15,espn week1 2023-09-05
30,Anthony Richardson,QB,16,espn week1 2023-09-05
31,Amon-Ra St. Brown,WR,7,espn week1 2023-09-05
32,Garrett Wilson,WR,8,espn week1 2023-09-05
33,DK Metcalf,WR,9,espn week1 2023-09-05
34,Stefon Diggs,WR,10,espn week1 2023-09-05
35,Jaylen Waddle,WR,11,espn week1 2023-09-05
36,A.J. Brown,WR,12,espn week1 2023-09-05
37,Sam Howell,QB,17,espn week1 2023-09-05
38,Matthew Stafford,QB,18,espn week1 2023-09-05
39,Aaron Rodgers,QB,19,espn week1 2023-09-05
40,Jared Goff,QB,20,espn week1 2023-09-05
41,Jimmy Garoppolo,QB,21,espn week1 2023-09-05
42,Nick Chubb,RB,8,espn week1 2023-09-05
43,Kenneth Walker III,RB,9,espn week1 2023-09-05
44,Travis Etienne Jr.,RB,10,espn week1 2023-09-05
45,Aaron Jones,RB,11,espn week1 2023-09-05
46,Chris Olave,WR,13,espn week1 2023-09-05
47,Calvin Ridley,WR,14,espn week1 2023-09-05
48,Tee Higgins,WR,15,espn week1 2023-09-05
49,Keenan Allen,WR,16,espn week1 2023-09-05
50,DeVonta Smith,WR,17,espn week1 2023-09-05
51,Jordan Love,QB,22,espn week1 2023-09-05
52,Derek Carr,QB,23,espn week1 2023-09-05
53,Baker Mayfield,QB,24,espn week1 2023-09-05
54,Mac Jones,QB,25,espn week1 2023-09-05
55,Ryan Tannehill,QB,26,espn week1 2023-09-05
56,Kenny Pickett,QB,27,espn week1 2023-09-05
57,Bryce Young,QB,28,espn week1 2023-09-05
58,Alexander Mattison,RB,12,espn week1 2023-09-05
59,James Conner,RB,13,espn week1 2023-09-05
60,Joe Mixon,RB,14,espn week1 2023-09-05
61,Rhamondre Stevenson,RB,15,espn week1 2023-09-05
62,Deebo Samuel,WR,18,espn week1 2023-09-05
63,Amari Cooper,WR,19,espn week1 2023-09-05
64,Terry McLaurin,WR,20,espn week1 2023-09-05
65,Brock Purdy,QB,29,espn week1 2023-09-05
66,C.J. Stroud,QB,30,espn week1 2023-09-05
67,Desmond Ridder,QB,31,espn week1 2023-09-05
68,Joshua Dobbs,QB,32,espn week1 2023-09-05
69,Christian Watson,WR,21,espn week1 2023-09-05
70,Tyler Lockett,WR,22,espn week1 2023-09-05
71,DeAndre Hopkins,WR,23,espn week1 2023-09-05
72,Jahmyr Gibbs,RB,16,espn week1 2023-09-05
73,Rachaad White,RB,17,espn week1 2023-09-05
74,Cam Akers,RB,18,espn week1 2023-09-05
75,Miles Sanders,RB,19,espn week1 2023-09-05
76,Chris Godwin,WR,24,espn week1 2023-09-05
77,Mike Evans,WR,25,espn week1 2023-09-05
78,T.J. Hockenson,TE,2,espn week1 2023-09-05
79,Mark Andrews,TE,3,espn week1 2023-09-05
80,Courtland Sutton,WR,26,espn week1 2023-09-05
81,Mike Williams,WR,27,espn week1 2023-09-05
82,Diontae Johnson,WR,28,espn week1 2023-09-05
83,DJ Moore,WR,29,espn week1 2023-09-05
84,Dameon Pierce,RB,20,espn week1 2023-09-05
85,J.K. Dobbins,RB,21,espn week1 2023-09-05
86,Jamaal Williams,RB,22,espn week1 2023-09-05
87,Najee Harris,RB,23,espn week1 2023-09-05
88,James Cook,RB,24,espn week1 2023-09-05
89,Brandin Cooks,WR,30,espn week1 2023-09-05
90,Christian Kirk,WR,31,espn week1 2023-09-05
91,Drake London,WR,32,espn week1 2023-09-05
92,Jahan Dotson,WR,33,espn week1 2023-09-05
93,Darren Waller,TE,4,espn week1 2023-09-05
94,Kyle Pitts,TE,5,espn week1 2023-09-05
95,Isiah Pacheco,RB,25,espn week1 2023-09-05
96,Brian Robinson Jr.,RB,26,espn week1 2023-09-05
97,Javonte Williams,RB,27,espn week1 2023-09-05
98,Samaje Perine,RB,28,espn week1 2023-09-05
99,David Montgomery,RB,29,espn week1 2023-09-05
100,Raheem Mostert,RB,30,espn week1 2023-09-05
101,Dalvin Cook,RB,31,espn week1 2023-09-05
102,AJ Dillon,RB,32,espn week1 2023-09-05
103,Jerick McKinnon,RB,33,espn week1 2023-09-05
104,Khalil Herbert,RB,34,espn week1 2023-09-05
105,D'Andre Swift,RB,35,espn week1 2023-09-05
106,Skyy Moore,WR,34,espn week1 2023-09-05
107,Marquise Brown,WR,35,espn week1 2023-09-05
108,Michael Pittman Jr.,WR,36,espn week1 2023-09-05
109,Deon Jackson,RB,36,espn week1 2023-09-05
110,Evan Hull,RB,37,espn week1 2023-09-05
111,Antonio Gibson,RB,38,espn week1 2023-09-05
112,Rashaad Penny,RB,39,espn week1 2023-09-05
113,Zach Charbonnet,RB,40,espn week1 2023-09-05
114,Michael Thomas,WR,37,espn week1 2023-09-05
115,Gabe Davis,WR,38,espn week1 2023-09-05
116,George Pickens,WR,39,espn week1 2023-09-05
117,Dallas Goedert,TE,6,espn week1 2023-09-05
118,George Kittle,TE,7,espn week1 2023-09-05
119,David Njoku,TE,8,espn week1 2023-09-05
120,Tyler Allgeier,RB,41,espn week1 2023-09-05
121,Ezekiel Elliott,RB,42,espn week1 2023-09-05
122,Breece Hall,RB,43,espn week1 2023-09-05
123,Evan Engram,TE,9,espn week1 2023-09-05
124,Tyler Higbee,TE,10,espn week1 2023-09-05
125,Pat Freiermuth,TE,11,espn week1 2023-09-05
126,Jakobi Meyers,WR,40,espn week1 2023-09-05
127,Treylon Burks,WR,41,espn week1 2023-09-05
128,Michael Gallup,WR,42,espn week1 2023-09-05
129,Jordan Addison,WR,43,espn week1 2023-09-05
130,Brandon Aiyuk,WR,44,espn week1 2023-09-05
131,Nico Collins,WR,45,espn week1 2023-09-05
132,Odell Beckham Jr.,WR,46,espn week1 2023-09-05
133,DJ Chark Jr.,WR,47,espn week1 2023-09-05
134,Marquez Valdes-Scantling,WR,48,espn week1 2023-09-05
135,Zay Flowers,WR,49,espn week1 2023-09-05
136,Dalton Schultz,TE,12,espn week1 2023-09-05
137,Cole Kmet,TE,13,espn week1 2023-09-05
138,Elijah Mitchell,RB,44,espn week1 2023-09-05
139,Devin Singletary,RB,45,espn week1 2023-09-05
140,Gus Edwards,RB,46,espn week1 2023-09-05
141,Kendre Miller,RB,47,espn week1 2023-09-05
142,Adam Thielen,WR,50,espn week1 2023-09-05
143,Allen Lazard,WR,51,espn week1 2023-09-05
144,Kadarius Toney,WR,52,espn week1 2023-09-05
145,JuJu Smith-Schuster,WR,53,espn week1 2023-09-05
146,Jonathan Mingo,WR,54,espn week1 2023-09-05
147,Darnell Mooney,WR,55,espn week1 2023-09-05
148,Marvin Mims Jr.,WR,56,espn week1 2023-09-05
149,Van Jefferson,WR,57,espn week1 2023-09-05
150,Rondale Moore,WR,58,espn week1 2023-09-05
