4701936|Matthew Golden|WR|117|111.7|84.8|188.9
3116165|Chris Godwin Jr.|WR|118|124.1|74.5|157.3
4429205|Jordan Addison|WR|119|120.2|80.7|171.1
4360310|Trevor Lawrence|QB|120|98.9|88.5|289.5
4697815|Rachaad White|RB|121|125.8|74.3|164.3
4241985|J.K. Dobbins|RB|122|112.7|83|174.8
4361741|Brock Purdy|QB|124|109.7|84.8|292
4608686|Kyle Monangai|RB|125|124.2|78|175.2
4572680|Tucker Kraft|TE|126|91.2|90.4|172.3
4688813|Josh Downs|WR|127|137.2|71.9|157.7
4373678|Khalil Shakir|WR|130|140.1|70.8|171.3
15847|Travis Kelce|TE|131|95.1|90.2|177.2
3139477|Patrick Mahomes|QB|132|108.1|86.3|291
4568490|RJ Harvey|RB|133|126.7|75.9|149.4
3121023|Dallas Goedert|TE|134|104|89.5|176.9
4870795|Makai Lemon|WR|137|132.6|75.1|155.2
4429096|Blake Corum|RB|138|127|76.2|159.3
4426338|Bo Nix|QB|139|100.9|89.1|295.7
4242355|Jake Ferguson|TE|140|109.4|86.4|166.6
12483|Matthew Stafford|QB|141|91.6|92.9|292.8
3917315|Kyler Murray|QB|143|138.8|63.7|283.4
4575131|Jacory Croskey-Merritt|RB|145|136|71.3|159
3953687|Brandon Aubrey|K|146|85.7|99.8|171.5
4361050|Isaiah Likely|TE|147|123|80.4|155.1
4429025|Quentin Johnston|WR|148|130.1|74.4|165.4
4362249|Jayden Reed|WR|150|138.6|71.4|173.7
4683062|Xavier Worthy|WR|151|129.8|76|173
4710714|De'Zhaun Stribling|WR|152|140.9|56.7|160.2
3116365|Mark Andrews|TE|153|126.1|81.4|169.1
4361432|Romeo Doubs|WR|154|148|60.9|150.6
4695883|Jalen Coker|WR|156|155.4|46.3|147
4385690|Dalton Kincaid|TE|157|130.8|74|155.5
4360689|Tyler Shough|QB|158|152.8|46.4|265.6
3046779|Jared Goff|QB|159|136.1|68.5|269.1
4428557|Tyjae Spears|RB|160|146.6|50.8|154.3
4360569|Jordan Mason|RB|161|139.3|66.1|151.7
3126486|Deebo Samuel Sr.|WR|163|141.8|69.6|149.6
4870653|KC Concepcion|WR|164|146.7|65.4|156
4426385|Zach Charbonnet|RB|165|153|55.9|134
4429059|Woody Marks|RB|167|151.7|59.5|131.8
4430834|Jalen McMillan|WR|171|164.7|27.7|132.9
3052587|Baker Mayfield|QB|175|145.9|56|264.7
4366031|Tank Dell|WR|176|163.4|34.6|0
3917792|Daniel Jones|QB|177|159.6|36.6|266.6
-16034|Texans D/ST|DEF|179|91.7|98.9|129.2
4362081|Cameron Dicker|K|181|112.5|98.9|161.9
-16007|Broncos D/ST|DEF|182|99.1|98.6|130.8
4362619|Chris Rodriguez Jr.|RB|183|164.8|28.1|71.5
4361529|Isiah Pacheco|RB|184|158|43.8|101.1
2473037|Jason Myers|K|187|116.1|98.1|158.5
3054850|Alvin Kamara|RB|189|160.6|41.3|113.4
2971573|Ka'imi Fairbairn|K|190|125.5|94.4|157.8
3929645|Juwan Johnson|TE|191|158.6|39.3|146.9
3046439|Hunter Henry|TE|192|152|57.9|150.3
4373626|Tyler Allgeier|RB|195|162.8|33.1|92.6
4574716|Harrison Mevis|K|198|137.3|92.3|159.4
4036133|T.J. Hockenson|TE|199|149.5|65.6|158.9
5083315|Kenyon Sadiq|TE|200|162.3|51.2|146.1
15818|Keenan Allen|WR|201|165.6|25.6|124.2
