4689114|Jaxson Dart|QB|NYG|100|77.2|93.4|299.8
4038941|Justin Herbert|QB|LAC|102|103.3|87.9|283.6
4678008|Jonathon Brooks|RB|CAR|104|113.2|78.8|170.8
4569587|Wan'Dale Robinson|WR|TEN|106|113.4|80.7|175
4360310|Trevor Lawrence|QB|JAX|107|93.1|87.6|288.3
3042519|Aaron Jones Sr.|RB|MIN|108|128.8|77.3|177
4685415|Travis Hunter|WR|JAX|109|120.7|72.5|113.1
4697815|Rachaad White|RB|WSH|110|133.6|72.4|164.7
4360078|Alec Pierce|WR|IND|111|102.3|84.4|186.7
4432773|Brian Thomas Jr.|WR|JAX|112|104.4|84.1|176.6
3916433|Jakobi Meyers|WR|JAX|114|114.6|80.2|182
4701936|Matthew Golden|WR|GB|117|103.2|83.9|185
3116165|Chris Godwin Jr.|WR|TB|118|138.8|70|157.4
4429205|Jordan Addison|WR|MIN|119|115|79.6|170.5
4431611|Caleb Williams|QB|CHI|120|92.4|89.2|281.7
4608686|Kyle Monangai|RB|CHI|121|126.7|76.4|176.2
4241985|J.K. Dobbins|RB|DEN|122|114.8|80.9|175
4361741|Brock Purdy|QB|SF|124|103.5|84.2|292.5
4568490|RJ Harvey|RB|DEN|125|135.4|73.7|149.5
4572680|Tucker Kraft|TE|GB|126|89.2|88.9|180.7
4688813|Josh Downs|WR|IND|127|136.3|72.9|157.7
4429025|Quentin Johnston|WR|LAC|130|136.6|70.9|165.4
15847|Travis Kelce|TE|KC|131|96.4|88.7|177.9
3139477|Patrick Mahomes|QB|KC|132|106.6|85.3|291.3
4429096|Blake Corum|RB|LAR|133|133.5|73.6|159.4
4242355|Jake Ferguson|TE|DAL|134|110.7|85.2|166.6
4870795|Makai Lemon|WR|PHI|137|139.4|73.9|154.6
4428557|Tyjae Spears|RB|TEN|138|157|40.1|154.5
4426338|Bo Nix|QB|DEN|139|88.8|89|296.2
3121023|Dallas Goedert|TE|PHI|140|99.2|88.8|177.1
12483|Matthew Stafford|QB|LAR|141|82.4|92.9|293.2
3917315|Kyler Murray|QB|MIN|143|144.9|58.3|250.6
4575131|Jacory Croskey-Merritt|RB|WSH|145|132|70.5|159.5
3953687|Brandon Aubrey|K|DAL|146|87.8|99.8|171.7
4361050|Isaiah Likely|TE|NYG|147|126.7|78.5|155.5
4373678|Khalil Shakir|WR|BUF|148|126.8|72.6|171.1
4362249|Jayden Reed|WR|GB|150|126.7|71.6|170.2
4683062|Xavier Worthy|WR|KC|151|123.6|74.2|173.7
4710714|De'Zhaun Stribling|WR|SF|152|147.7|46.3|149.9
3116365|Mark Andrews|TE|BAL|153|121.6|80.9|169.3
4361432|Romeo Doubs|WR|NE|154|150|58.6|150.4
4695883|Jalen Coker|WR|CAR|156|158.5|40.2|147.2
4385690|Dalton Kincaid|TE|BUF|157|131.3|70.7|155.4
4360689|Tyler Shough|QB|NO|158|154.9|42.3|266
3046779|Jared Goff|QB|DET|159|136.6|65.7|268.5
4360569|Jordan Mason|RB|MIN|160|138.7|62.1|150.5
4426385|Zach Charbonnet|RB|SEA|162|155.2|54.4|134
3126486|Deebo Samuel Sr.|WR|SF|163|131.9|70.3|149.6
4870653|KC Concepcion|WR|CLE|164|144.4|64.5|155.9
4429059|Woody Marks|RB|HOU|165|148.5|59.5|127.7
4361529|Isiah Pacheco|RB|DET|167|162.7|39.6|123.5
4430834|Jalen McMillan|WR|TB|171|167.9|20.7|132.9
3054850|Alvin Kamara|RB|NO|173|160.2|41.3|117.4
3052587|Baker Mayfield|QB|TB|175|147.7|51.3|264.8
4366031|Tank Dell|WR|HOU|176|156.1|35.2|95.9
3917792|Daniel Jones|QB|IND|177|158.4|33.8|267.2
-16034|Texans D/ST|DEF|HOU|179|89.5|98.8|130.3
4362081|Cameron Dicker|K|LAC|181|107.9|99.2|161.9
-16007|Broncos D/ST|DEF|DEN|182|99.2|98.4|130.6
4362619|Chris Rodriguez Jr.|RB|JAX|183|165.3|22.6|71.4
4373626|Tyler Allgeier|RB|ARI|184|163.4|27.4|91.3
2473037|Jason Myers|K|SEA|187|119.4|97.7|158.5
5081397|Dylan Sampson|RB|CLE|189|170.6|10.3|88.3
2971573|Ka'imi Fairbairn|K|HOU|190|132.6|92.6|157.9
3929645|Juwan Johnson|TE|NO|191|162.3|32.3|143.4
4036133|T.J. Hockenson|TE|MIN|192|135.6|70.4|158.2
4038441|Justice Hill|RB|BAL|195|170.4|10.2|114.2
4034949|Eddy Pineiro|K|SF|198|148.2|81.3|155.3
3046439|Hunter Henry|TE|NE|199|144.5|60.3|150.1
5083315|Kenyon Sadiq|TE|NYJ|200|149.9|61.9|147.9
15818|Keenan Allen|WR|IND|201|166.7|20.6|124.4
4036378|Jordan Love|QB|GB|203|157.7|32.8|259
3925357|Calvin Ridley|WR|TEN|205|168.1|22.1|135.4
4429023|MarShawn Lloyd|RB|GB|206|168.7|25.7|86.3
4596334|Keaton Mitchell|RB|LAC|207|168.9|15.8|93.9
4430539|Brenton Strange|TE|JAX|208|167.8|19.3|142.5
4586312|Jaylin Noel|WR|HOU|212|171.7|4.8|103.7
4570037|Terrance Ferguson|TE|LAR|213|166.1|23.1|135.8
4032473|Rashid Shaheed|WR|SEA|214|155.5|43|144.5
4241474|Brian Robinson Jr.|RB|ATL|215|165|23.1|94
4832800|Denzel Boston|WR|CLE|216|166.3|23.1|142.3
4241463|Jerry Jeudy|WR|CLE|218|165.9|28.3|140.1
4597500|Adonai Mitchell|WR|NYJ|221|170.1|13.6|127.4
4869645|Caleb Douglas|WR|MIA|222|169.7|12.6|114.6
4242512|Malik Willis|QB|MIA|223|166.9|18.4|239.1
4880281|Jordyn Tyson|WR|NO|226|167|51.6|99.8
4428718|Tre Tucker|WR|LV|227|168.2|21.9|138
4382466|Jalen Nailor|WR|LV|228|170.7|11.9|124.2
4702555|Jonah Coleman|RB|DEN|229|169.4|12.6|74.5
4686658|Mike Washington Jr.|RB|LV|230|163.8|39|65.2
4685247|Braelon Allen|RB|NYJ|234|170.9|9.3|76.6
4360939|Rashod Bateman|WR|BAL|235|171.3|8.4|122.5
4428850|Dontayvion Wicks|WR|PHI|236|170.8|7.8|108.2
4569559|Devaughn Vele|WR|NO|237|171.6|6.9|123.8
4429013|Tank Bigsby|RB|PHI|238|169.2|17.6|64.2
4429501|Ray Davis|RB|BUF|239|171|10.1|38.1
-16023|Steelers D/ST|DEF|PIT|240|119.1|95.4|122.7
-16026|Seahawks D/ST|DEF|SEA|241|110.7|97.6|122.3
-16014|Rams D/ST|DEF|LAR|242|108.4|95.7|121.9
-16033|Ravens D/ST|DEF|BAL|243|134.1|87.8|120
-16021|Eagles D/ST|DEF|PHI|246|136.7|86.1|106.7
-16005|Browns D/ST|DEF|CLE|248|155.8|58.3|103.9
-16017|Patriots D/ST|DEF|NE|249|151.3|70.3|100.3
-16008|Lions D/ST|DEF|DET|251|153.3|68.3|107.8
-16012|Chiefs D/ST|DEF|KC|252|164.7|36|100.4
-16024|Chargers D/ST|DEF|LAC|254|164.7|49.9|94.8
4574716|Harrison Mevis|K|LAR|256|134.3|92.6|159.5
3055899|Harrison Butker|K|KC|258|144.6|78.1|148.8
4686361|Cam Little|K|JAX|260|141.4|87.2|146.9
4689936|Jake Bates|K|DET|263|157.2|70.6|145.8
4697745|Tyler Loop|K|BAL|266|164.9|51.3|146
17427|Cairo Santos|K|CHI|268|168.8|32.9|144.4
4567104|Will Reichard|K|MIN|270|167.3|31.1|142.2
4241457|Najee Harris|RB|NYG|273|170.1|4.3|78.3
4870847|Ja'Kobi Lane|WR|BAL|276|167.9|16.9|100.5
4432577|C.J. Stroud|QB|HOU|281|165.4|20.7|246.6
3912547|Sam Darnold|QB|SEA|283|162.3|22.8|242.6
3886598|Jauan Jennings|WR|MIN|285|171|8.9|114.6
4685261|Germie Bernard|WR|PIT|287|171.4|7.6|108.8
4686612|Tre' Harris|WR|LAC|289|171.1|4.4|89.9
5083754|Ryan Flournoy|WR|DAL|293|171|4.1|89.4
4361411|Pat Freiermuth|TE|PIT|296|169.2|13.1|136.4
3117256|Dalton Schultz|TE|HOU|297|168.2|16.5|132.9
4870612|Zachariah Branch|WR|ATL|300|170.9|5.6|82.5
4723820|Omar Cooper Jr.|WR|NYJ|302|171.2|9.2|87.4
4429022|Kayshon Boutte|WR|HOU|304|170.7|7.9|110.4
4569603|Malik Washington|WR|MIA|305|170.3|7.2|114.9
4686728|Gunnar Helm|TE|TEN|310|170.6|5.2|127
4360635|Chig Okonkwo|TE|WSH|311|169.9|8.6|121.3
4576297|AJ Barner|TE|SEA|312|169.6|6.7|113.8
4685720|Bryce Young|QB|CAR|313|168.8|9.3|237.5
4688380|Cam Ward|QB|TEN|315|169.2|9.7|220
2578570|Jacoby Brissett|QB|ARI|317|170.1|4.2|198.9
3116389|Samaje Perine|RB|CIN|321|171.1|3.9|100.5
2977187|Cooper Kupp|WR|SEA|322|169|11|101.5
4430034|Xavier Legette|WR|CAR|326|170.7|2.3|94.1
4361409|Jahan Dotson|WR|ATL|327|170.7|0.9|92.8
3916945|Darius Slayton|WR|NYG|328|170.6|1.4|88.6
-16027|Buccaneers D/ST|DEF|TB|336|170.1|11.5|92.8
-16009|Packers D/ST|DEF|GB|337|168.8|16.2|90.3
17372|Chris Boswell|K|PIT|338|164.5|37.9|142.9
3150744|Chase McLaughlin|K|TB|339|170.2|15.7|142.2
-16030|Jaguars D/ST|DEF|JAX|359|167.9|53.2|81.4
-16018|Saints D/ST|DEF|NO|361|170.3|3|88.8
4360234|Evan McPherson|K|CIN|363|169.4|16.7|142.1
10621|Nick Folk|K|ATL|364|170.3|4.4|141.3
4367209|Greg Dulcich|TE|MIA|365|170.4|3.5|119.1
