order	player_raw	price	team_raw
106	Bhayshul Tuten (Jax - RB)	10	Jamie's Team
107	Vikings (Min - DEF)	1	Daniel's Dandy Team
108	Patrick Mahomes (KC - QB)	3	Kempton's Alt Right
109	Bo Nix (Den - QB)	3	Jachizz Rogers
110	George Kittle (SF - TE)	4	Jachizz Rogers
111	Juwan Johnson (NO - TE)	2	Banks
112	Brian Robinson (Atl - RB)	2	Cops and Rodgers
113	Carnell Tate (Ten - WR)	5	Pooky and the Pumpkin Pounders
114	Mark Andrews (Bal - TE)	1	Lev Bell's Roommates
115	Jaguars (Jax - DEF)	3	All up to Luck
116	Michael Wilson (Ari - WR)	5	Daniel's Dandy Team
117	Makai Lemon (Phi - WR)	3	Kempton's Alt Right
118	Justin Herbert (LAC - QB)	5	Cops and Rodgers
119	Tony Pollard (Ten - RB)	7	Pooky and the Pumpkin Pounders
120	Jordan Addison (Min - WR)	2	Kempton's Alt Right
121	DK Metcalf (Pit - WR)	5	Kempton's Alt Right
122	Hunter Henry (NE - TE)	2	Daniel's Dandy Team
123	RJ Harvey (Den - RB)	3	Daniel's Dandy Team
124	Aaron Jones Sr. (Min - RB)	1	Pooky and the Pumpkin Pounders
125	Chris Godwin Jr. (TB - WR)	3	Stars and Scrubs
126	Chuba Hubbard (Car - RB)	5	Pooky and the Pumpkin Pounders
127	Browns (Cle - DEF)	1	Jamie's Team
128	Jared Goff (Det - QB)	3	Pooky and the Pumpkin Pounders
129	Jacory Croskey-Merritt (Was - RB)	2	Stars and Scrubs
130	Jonah Coleman (Den - RB)	2	Pooky and the Pumpkin Pounders
131	Brock Purdy (SF - QB)	3	Banks
132	Josh Downs (Ind - WR)	3	Banks
133	Jordan Mason (Min - RB)	3	Jamie's Team
134	Matthew Golden (GB - WR)	3	Cops and Rodgers
135	Rachaad White (Was - RB)	1	All up to Luck
136	Blake Corum (LAR - RB)	4	Stars and Scrubs
137	Kyler Murray (Min - QB)	2	All up to Luck
138	Wil Lutz (Den - K)	1	Banks
139	Alvin Kamara (NO - RB)	2	Kempton's Alt Right
140	Stefon Diggs (Was - WR)	3	All up to Luck
141	Kenny Gainwell (TB - RB)	2	Injured Reserve
142	Harrison Butker (KC - K)	1	Kempton's Alt Right
143	Kyle Monangai (Chi - RB)	2	Cops and Rodgers
144	Ravens (Bal - DEF)	1	Stars and Scrubs
145	De'Zhaun Stribling (SF - WR)	3	Stars and Scrubs
146	Jayden Reed (GB - WR)	2	Stars and Scrubs
147	KC Concepcion (Cle - WR)	3	Jamie's Team
148	Zach Charbonnet (Sea - RB)	3	Banks
149	Michael Pittman Jr. (Pit - WR)	2	Jachizz Rogers
150	Jalen Coker (Car - WR)	1	Sir Phobos
151	Jordan Love (GB - QB)	2	Cops and Rodgers
152	Jakobi Meyers (Jax - WR)	1	Kempton's Alt Right
153	Khalil Shakir (Buf - WR)	1	Jachizz Rogers
154	Terrance Ferguson (LAR - TE)	1	Stars and Scrubs
155	Deebo Samuel Sr. (SF - WR)	1	All up to Luck
156	Wan'Dale Robinson (Ten - WR)	1	Lev Bell's Roommates
157	Ja'Kobi Lane (Bal - WR)	1	Jamie's Team
158	Mike Washington Jr. (LV - RB)	1	Banks
159	Rashid Shaheed (Sea - WR)	1	Injured Reserve
160	Chris Rodriguez Jr. (Jax - RB)	1	Sir Phobos
161	Chris Boswell (Pit - K)	1	Cops and Rodgers
162	Jayden Higgins (Hou - WR)	1	Kempton's Alt Right
163	Xavier Worthy (KC - WR)	2	Injured Reserve
164	Jordyn Tyson (NO - WR)	2	Jamie's Team
165	Romeo Doubs (NE - WR)	1	All up to Luck
166	Keaton Mitchell (LAC - RB)	1	Lev Bell's Roommates
167	Malik Willis (Mia - QB)	1	Jamie's Team
168	Keenan Allen (Ind - WR)	1	Banks
169	Najee Harris (NYG - RB)	1	Injured Reserve
170	Tyler Shough (NO - QB)	1	Sir Phobos
171	Kayshon Boutte (Hou - WR)	1	Cops and Rodgers
172	Jalen Nailor (LV - WR)	2	Injured Reserve
173	Tank Bigsby (Phi - RB)	1	Stars and Scrubs
174	Ricky Pearsall (SF - WR)	1	All up to Luck
175	Baker Mayfield (TB - QB)	1	Lev Bell's Roommates
176	Malik Davis (Dal - RB)	1	Banks
177	Jake Ferguson (Dal - TE)	1	Injured Reserve
178	Woody Marks (Hou - RB)	1	Sir Phobos
179	Denzel Boston (Cle - WR)	1	Jachizz Rogers
180	Cam Little (Jax - K)	1	Stars and Scrubs
181	Ka'imi Fairbairn (Hou - K)	1	All up to Luck
182	Dalton Schultz (Hou - TE)	1	Lev Bell's Roommates
183	Rashod Bateman (Bal - WR)	1	Banks
184	Aaron Rodgers (Pit - QB)	1	Injured Reserve
185	Tre Tucker (LV - WR)	1	Jachizz Rogers
186	Tyler Allgeier (Ari - RB)	1	Lev Bell's Roommates
187	Malik Washington (Mia - WR)	1	Jachizz Rogers
188	Tyjae Spears (Ten - RB)	1	Lev Bell's Roommates
189	Sam Darnold (Sea - QB)	1	Jachizz Rogers
190	Tyler Loop (Bal - K)	1	Lev Bell's Roommates
191	Ray Davis (Buf - RB)	1	Jachizz Rogers
192	Cowboys (Dal - DEF)	1	Lev Bell's Roommates
