season,player_name,position,nfl_team,pos_adp,adp,prev_adp,adp_delta
2026,Jordan Addison,WR,MIN,WR43,90.1,88.9,-1.2
2026,Chuba Hubbard,RB,CAR,RB33,90.8,84.5,-6.3
2026,Blake Corum,RB,LAR,RB33,90.8,90.7,-0.1
2026,Michael Wilson,WR,ARI,WR44,92.7,94.0,1.3
2026,J.K. Dobbins,RB,DEN,RB35,97.1,96.7,-0.4
2026,Patrick Mahomes,QB,KC,QB11,97.1,95.6,-1.5
2026,Kyle Monangai,RB,CHI,RB36,98.2,97.0,-1.2
2026,Michael Pittman Jr.,WR,PIT,WR45,99.5,98.6,-0.9
2026,Jaxson Dart,QB,NYG,QB12,100.7,101.3,0.6
2026,Brock Purdy,QB,SF,QB13,101.9,100.2,-1.7
2026,Harold Fannin,TE,CLE,TE7,102.1,102.3,0.2
2026,Stefon Diggs,WR,WAS,WR46,103.6,125.4,21.8
2026,Kyle Pitts,TE,ATL,TE8,103.7,103.7,0.0
2026,Xavier Worthy,WR,KC,WR47,104.2,100.7,-3.5
2026,Jordan Mason,RB,MIN,RB37,104.5,110.1,5.6
2026,Matthew Golden,WR,GB,WR48,104.7,107.6,2.9
2026,Bo Nix,QB,DEN,QB14,107.9,106.6,-1.3
2026,Matthew Stafford,QB,LAR,QB15,108.0,106.0,-2.0
2026,Kenny Gainwell,RB,TB,RB38,109.2,106.9,-2.3
2026,Jacory Croskey-Merritt,RB,WAS,RB39,109.2,116.6,7.4
2026,Jared Goff,QB,DET,QB16,110.3,109.7,-0.6
2026,Wan'Dale Robinson,WR,TEN,WR49,111.0,111.4,0.4
2026,Rachaad White,RB,WAS,RB40,113.4,109.1,-4.3
2026,Kyler Murray,QB,MIN,QB17,113.6,112.9,-0.7
2026,Jakobi Meyers,WR,JAX,WR50,113.8,108.3,-5.5
2026,George Kittle,TE,SF,TE9,114.1,114.8,0.7
2026,Jordan Love,QB,GB,QB18,115.9,113.7,-2.2
2026,Romeo Doubs,WR,NE,WR51,118.3,116.5,-1.8
2026,KC Concepcion,WR,CLE,WR52,119.1,118.1,-1.0
2026,Jayden Higgins,WR,HOU,WR53,121.1,121.9,0.8
2026,Baker Mayfield,QB,TB,QB19,121.1,119.2,-1.9
2026,Travis Kelce,TE,KC,TE10,122.4,121.4,-1.0
